id,status,news,chance_of_playing_this_round,chance_of_playing_next_round
1,a,,,
2,a,,,
3,u,Has joined Werder Bremen on loan for the rest of the season.,0,0
4,a,,,
5,a,,100,100
6,a,,100,100
7,d,Knock - 75% chance of playing,75,75
8,d,Ankle injury - 75% chance of playing,75,75
9,u,has joined Porto on loan for the rest of the season.,0,0
10,a,,,
11,a,,100,100
13,a,,,
14,u,has joined Morecambe on loan for the rest of the season.,0,0
15,a,,,
16,i,Achilles injury - Unknown return date,0,0
17,a,,75,100
18,a,,75,100
19,a,,100,100
20,a,,100,100
21,a,,100,100
22,i,Foot injury - Unknown return date,0,0
23,u,has joined Hamburger on loan for the rest of the season.,0,0
24,a,,100,100
25,u,has joined Marseille on loan for the rest of the season.,0,0
26,a,,100,100
28,u,has joined Shrewsbury Town on loan for the rest of the season.,0,0
29,u,has joined Hamburger permanently.,0,0
30,a,,100,100
31,a,,100,100
266,a,,100,100
662,a,,100,100
666,a,,100,100
700,a,,100,100
711,a,,,
725,a,,100,100
759,a,,,
32,a,,100,100
33,a,,100,100
34,u,Has joined Port Vale on loan for the rest of the season.,0,0
35,u,Has joined Stevenage permanently.,0,0
36,a,,100,100
37,a,,100,100
38,a,,100,100
39,a,,,
40,a,,100,100
41,a,,100,100
42,a,,100,100
43,u,Has joined Girona permanently.,0,0
44,a,,100,100
45,u,has joined Rotherham on loan for the rest of the season.,0,0
46,u,has joined Anderlecht on loan for the rest of the season.,0,0
47,a,,100,100
48,a,,100,100
49,a,,100,100
50,a,,100,100
51,u,has joined Pisa on loan for the rest of the season.,0,0
53,u,has joined Roma on loan for the rest of the season.,0,0
54,a,,100,100
55,a,,100,100
56,u,Season-long loan to Benfica,0,0
57,u,Has joined Preston North End on loan for the rest of the season.,0,0
58,i,Knee injury - Expected back 01 Jun,0,0
59,a,,100,100
60,u,has joined Falkirk on loan for the rest of the season.,0,0
61,u,Has joined Real Oviedo permanently.,0,0
62,u,has joined West Brom on loan for the rest of the season.,0,0
63,u,has joined Reading on loan for the rest of the season.,0,0
64,a,,100,100
65,u,has joined Huddersfield Town on loan for the rest of the season.,0,0
389,a,,100,100
456,a,,100,100
688,a,,,
699,a,,100,100
701,u,has joined Annecy on loan for the rest of the season.,0,0
702,a,,,
703,a,,,
710,a,,,
719,a,,100,100
754,a,,,
757,a,,,
768,a,,,
781,a,,,
792,a,,100,100
808,a,,,
183,a,,,
184,u,has joined FC Fredericia permanently.,0,0
185,a,,,
186,i,Achilles injury - Unknown return date,0,0
187,a,,100,100
188,u,has joined Lugano permanently.,0,0
189,u,Has joined Stockport County on loan for the rest of the season.,0,0
190,a,,,
191,a,,100,100
192,a,,,
193,a,,100,100
194,i,Hamstring injury - Unknown return date,0,0
195,a,,100,100
196,u,has joined Sparta Rotterdam on loan for the rest of the season.,0,0
197,u,has joined Sparta Prague on loan for the rest of the season.,0,0
198,a,,100,100
199,a,,100,100
200,a,,100,100
201,u,has joined Maccabi Haifa permanently.,0,0
202,a,,100,100
203,a,,,
204,u,has joined Kocaelispor  permanently.,0,0
205,i,Knee injury - Expected back 30 Sep,0,0
206,a,,100,100
207,d,Hamstring injury - 25% chance of playing,25,25
208,u,has joined Paris FC on loan for the rest of the season.,0,0
209,a,,100,100
210,a,,,
211,u,has joined Leicester City on loan for the rest of the season.,0,0
212,u,Has joined Cercle Brugge on loan for the rest of the season.,0,0
213,u,has joined Derby County on loan for the rest of the season.,0,0
214,a,,100,100
215,a,,100,100
216,d,Lack of match fitness - 50% chance of playing,50,50
217,a,,100,100
218,a,,,
219,u,has joined Blackpool on loan for the rest of the season.,0,0
470,a,,100,100
614,a,,100,100
676,a,,100,100
680,a,,100,100
722,a,,,
776,a,,,
784,a,,,
820,a,,,
66,u,Has joined Botafogo permanently.,0,0
67,a,,,
68,u,has joined Leyton Orient on loan for the rest of the season.,0,0
69,a,,,
70,u,Has joined Lechia Gdansk on loan for the rest of the season.,0,0
71,u,Has joined Paris Saint-Germain permanently.,0,0
72,a,,100,100
73,a,,100,100
74,a,,,
75,a,,100,100
76,a,,,
77,a,,,
78,u,has joined Celtic on loan for the rest of the season.,0,0
79,u,has joined West Bromwich Albion permanently.,0,0
80,a,,100,100
81,i,Knee injury - Expected back 09 May,0,0
84,a,,100,100
85,a,,100,100
86,a,,100,100
87,a,,100,100
88,d,Lack of match fitness - 25% chance of playing,25,25
89,u,has joined Midtjylland permanently.,0,0
90,a,,100,100
91,u,has joined Cruzeiro on loan for the rest of the season.,0,0
92,u,has joined Auxerre permanently.,0,0
93,u,has joined Marseille on loan for the rest of the season.,0,0
94,u,has joined Novi Pazar on loan for the rest of the season.,0,0
95,u,has joined Olympiakos permanently.,0,0
96,u,has joined Barnet on loan for the rest of the season.,0,0
97,a,,100,100
98,a,,100,100
99,u,has joined HNK Rijeka permanently.,0,0
100,a,,100,100
391,a,,100,100
685,a,,100,100
687,a,,,
697,a,,,
713,a,,,
721,a,,100,100
756,a,,,
782,a,,,
799,a,,,
801,a,,,
806,a,,,
807,a,,,
27,a,,100,100
83,a,,100,100
101,a,,100,100
102,a,,,
103,u,has joined Shrewsbury Town on loan for the rest of the season.,0,0
104,a,,,
105,a,,,
106,a,,,
107,a,,,
108,a,,100,100
109,i,Hamstring injury - Unknown return date,0,0
110,a,,100,100
111,a,,100,100
112,u,Has joined Southampton permanently.,0,0
113,a,,100,100
114,u,has joined Celtic on loan for the rest of the season.,0,0
115,u,has joined Dender on loan for the rest of the season.,0,0
116,a,,100,100
117,u,has joined Kaiserslautern on loan for the rest of the season.,0,0
118,u,Has joined Rangers on loan for the rest of the season.,0,0
120,a,,100,100
121,a,,100,100
122,i,Knee injury - Expected back 01 Jun,0,0
123,i,Knee injury - Expected back 01 Jun,0,0
124,i,Knock - Expected back 02 May,0,0
125,i,Foot injury - Unknown return date,0,0
126,a,,,
127,u,has joined Swansea City on loan for the rest of the season.,0,0
128,u,has joined Coventry City on loan for the rest of the season.,0,0
129,a,,100,100
130,a,,,
131,u,has joined Oxford United on loan for the rest of the season.,0,0
132,u,has joined Norwich City permanently.,0,0
133,u,has joined Oxford United permanently.,0,0
134,u,Has joined Wigan on loan for the rest of the season,0,0
136,a,,100,100
137,u,has joined Shrewsbury on loan for the rest of the season.,0,0
748,d,Lack of match fitness - 25% chance of playing,25,25
797,i,Knock - Unknown return date,0,0
810,a,,,
819,a,,,
823,a,,,
824,a,,,
826,a,,,
138,a,,,
139,a,,,
140,a,,,
141,u,Has joined Coventry City on loan for the rest of the season.,0,0
142,u,Has joined Union SG permanently,0,0
143,a,,,
144,u,has joined Paris FC on loan for the rest of the season.,0,0
145,a,,100,100
146,a,,0,100
147,u,Has joined AC Milan permanently,0,0
148,a,,,
149,a,,100,100
150,u,has joined Fiorentina permanently.,0,0
151,a,,100,100
152,a,,100,100
153,i,Knee injury - Unknown return date,0,0
154,u,has joined Blackburn Rovers on loan for the rest of the season.,0,0
155,u,has joined Harrogate Town on loan until January.,0,0
156,a,,,
157,a,,100,100
158,a,,100,100
159,d,Muscle injury - 75% chance of playing,100,75
160,a,,100,100
161,u,has joined Strasbourg permanently.,0,0
162,u,has joined Leipzig on loan for the rest of the season.,0,0
163,a,,100,100
164,a,,100,100
165,u,has joined Lens permanently.,0,0
166,a,,100,100
167,a,,100,100
169,d,Knee injury - 50% chance of playing,100,50
170,d,Knock - 25% chance of playing,25,25
171,u,has joined Middlesbrough on loan for the rest of the season.,0,0
172,u,has joined Millwall on loan for the rest of the season.,0,0
173,a,,100,100
174,u,Has joined Swansea City on loan for the rest of the season.,0,0
175,u,has joined Stevenage permanently.,0,0
176,u,has joined Dinamo Bucharest permanently.,0,0
177,u,Has joined Los Angeles FC on loan for the rest of the season.,0,0
178,a,,100,100
179,u,Has joined AS Roma on loan for the rest of the season,0,0
180,i,Knee injury - Expected back 01 Jun,0,0
181,a,,,
744,a,,,
761,a,,,
783,a,,,
795,a,,,
220,a,,100,100
221,d,Groin Injury - 25% chance of playing,25,25
222,u,Has joined RC Strasbourg on loan for the rest of the season.,0,0
223,a,,,
224,a,,100,100
